영화평점,영화감상평
8,"덕후에겐 갈수록 흥미진진, 뉴비에겐 갈수록 오리무중"
10,난 개재밌게 봤는데ㅋㅋㅋ
3,닥터 스트레인지 1편 기대하고 가시면 굉장히 실망합니다시리즈물의 퀄리티는 고사하고 일반적인 영화의 완성도에서 크게 떨어집니다
10,저는 개재미있게 봤는데 호불호가 많이 갈리나 보네요..
10,"잉 나는 진짜 재밌게 봄. 이터널스, 스파이더맨 최근꺼, 베놈2 보다 배로 훨훨훨씬 재밌었음ㅋㅋㅋㅋ 약간 스릴러도 섞인 닥스 느낌? 역시 닥스는 배신하지 않는다.. 너무 재밌음.. 시간가는 줄 몰랐음"
7,"솔직하게 말하자면, 기괴하기만 하고 후반에 너무 시시하게 스토리이어져서 선이 승리하고 끝남 티저는 첫번째꺼만 보세요"
8,약간 뜬금없음 그리고 진짜 무서움 거의 발작하면서 봄
10,스토리는 평범할 수 있느나 연출이나 영상미는 정말 신선하다!
9,"대의를 위해 움직이는 히어로 닥터 스트레인지, 모든 것을 잃고 방황하는 상실의 히어로 스칼렛 위치. 두 히어로의 서로 다른 가치를 지키기 위한 멀티버스를 넘나드는 여정. (필수적으로 봐야 하는 이전 작품 : 닥터 스트레인지, 어벤져스 인피니티 워/엔드게임, 완다비전)"
10,마블 드라마까지 다챙겨보는데 진짜 역대급 대존잼 첨부터 끝까지 거를 타선이 없다평점 왜 이런지 정말 모르겠네
4,"쓸데없는 질질 끄는 대사. 혐오,호러물 액션임.그리고 신파 ㅋㅋㅋ"
1,"초반오프닝, 문어괴물, 이마의 제3의눈 등 많은 부분에서 CG퀄리티가 안좋습니다. 닥터,카마르 타지의 수십명이 넘는 마스터들,일루미나티 멤버들까지 모두 완다에겐 상대조차 되지않아 그 강함이 지나칠정도로 표현되어 눈살을 찌푸리게 만듭니다. 완다의 행동도 이해가 안되는게 완다비전에서 마지막에 그간 자신의 행동으로 인해 피해를 끼친걸 인정하고 모니카에게 사과하고 떠나놓고, 마치 반성한일이 없었던양 사람들을 죽이는 모습이 괴리감을 느끼게 만듭니다. 닥터스트레인지 솔로영화로썬 1편은 고사하고 왓이프 닥터스트레인지 편보다도 못합니다."
9,약간 찐한 히어로물 원하면 별론데 고어틱하면서 판타지 영화로써 보면 최고
7,그냥 걸린게 거의 이거뿐이라...ㅠ
2,30분 보다가 졸았어요.언제끝나나 시계만 본..
10,솔직히 마블시리즈 영화 처음보는사람으로서 마블의 세계는 넓구나 생각했음
10,재밌었음
7,별로
9,재미있는데 전작에 비하면 조금 아쉽다는 느낌?
10,너무너무너무 재밌었음.. 베니랑 리지 연기 미쳤음 ㄹㅇ
10,나는 너무너무너무 최고 재밌었는데 남친은 최악이었다고 함 ㅋㅋㅋ 극과극
1,한마디로 평가한다 야발 내안본눈 산다
9,졸라 꿀잼인데
10,제목 그대로 혼돈의 멀티버스 였네요.. ㄷㄷ 지루할틈이 없었습니다.. 그리고 엘리자베스 완다 개쎅시 했어요 ㅎㅎㅎ
1,연출.. 스토리.. ost...촌스럽다...
4,너무재미없어서 지겨워 죽는줄 알았습니다마블 시리즈 좋아하는 남편도 마블작품중 최악이라며…같이본 초5딸만 너무너무 재미있었다네요…
10,너무 재밌게 봤어요.. 감동적인 부분도 있고.. 근데 쿠키는 첫번째 거 까지만 보고 나오셔도 될듯요ㅠ
1,나의 히어로 스트레인지를 왜 셈 레이미식 그루지 호러 스릴러로 만들어놨냐?꼬마 여주는 전혀 주인공으로서 매력이 없고 중간에 일루미나티 판타스틱4는 뭐며 오그라드는 전투씬에 내 최애 완다는 빨간 눈만 기억될 듯. 그나마 첫 부분 돌문어 잡을때가 젤 재밋었다
10,배우들 연기 장난아님 영상연출도 기가막혔어요 공포랑 액션 감동까지 잘 믹스한거같아요
8,와 닥터스트레인지다~~하고 보러온 잼민이들이 식겁하고 돌아갈 샘레이미의 멀티버스
10,왜 평점이 이거밖에안되지?? 완전재밌게 봣는뎅
10,완다의 비극공포영화에서 볼 수 있는 연출영화 상영시간 내내 느낀 사운드
10,무서워요ㅜ 두번째 쿠키 대박!
6,그러고보니 일루미나티 다죽었네? ㅋㅋㅋㅋ
2,"제목만 닥터스트레인지 주인공은 완다... 완전히 기대 이하닥터의 성장도 얼렁뚱땅 설정도 얼렁뚱땅...억지스러운 전개, 허술한 설정들, 하는것도 없이 멍청한 대사만 남발하는 닥터스트레인지.. 총채적난국"
6,마블 영화보며 졸았던 건 이번이 처음이다..
2,진행형 스릴러랄까...엑스맨.워킹데드 추억소환
10,마블의 장르적 쾌감도 멀티버스로 대확장
2,제발 이러지마...내머리속의 대혼돈
5,마블 영화는 점점 진부해지는구나
10,"마블 영화 잘 안 보는데 이거 보고 다 봐야하나 고민이,,,"
8,완다비전의 그 완다 맞음?? 하루아침에 살인자가 되어있네...감독 완다비전은 보고 영화 만든건지 ㅠㅠ
2,호러 코미디 혹은 코미디 호러. 좀비물 좋아하고 코미디 본다고 생각하고 가면 만족스러울듯!
5,호러물 아니니???스칼렛 무서워....
7,완다 영화인줄 알았음 많이 아쉽다
2,이건아니죠.제발. 이돈을 한국영화에 쏟기를
10,평점이 갈리는건 완다비젼을 본사람과 안 본사람의 차이
10,마블에서 탑으로 쎈 두 캐릭터지만 영화에선 기대했던 것보단 쎄게 안 나와서 좀 그랬지만... 그래도 난 재밌던데?
10,닥터 스트레인지만의 차별화된 영상미가 좋아요
10,취향이 많이 탈 영화일 것 같다. 나는 정말 재밌게 봄. 연출력은 좋은데 각본이 아쉬움. 배우들 연기는 최고. 코믹스 닥스 원작을 본 사람으로서 이 영화가 닥스를 정말 잘 표현한 것 같다고 생각함.
7,악역이 ㅜㅜ 이건아님 음표 좀비 ㅜㅜ
2,유니버스는 뭔 소린지....손만 냅다 돌리다가 끝남
10,너무 재밌게 봤우요 음표는 좀 웃기긴했지만
10,도르마무
8,당황스러움의 연속.영상미는 기대했던 대로 뛰어나지만 개연성이 아쉬웠습니다.
10,소름끼칠정도로 섬세한 연출과 감독의 아름다운 철학관에 매료되어 정말 오랜만에 황홀감을 느꼈다. 천재 감독임은 틀림없다
8,나만 멀미 오지게 낫나 보고나서 멀미나갖고 힘들었다....
7,전개가 급하고 닥터 스트레인지라는 캐릭터를 제대로 표현 못한 듯아 그리고 두번째 쿠키영상은 보는걸 추천하지 않음ㅋ
7,샘 레이미 감독은 반갑고 보는내내 화려하니 눈은 즐겁지만 남는 여운은 없음
10,완전 재밌어요~^^ 두번 보고싶어요~ 1편보다 잼나~~
10,그냥 존나 재밌음 다소 유치하다고 느낄 요소가 중간에 딱 두번정도 있는데 거슬릴 정도는 아님 전체적으로 잘 만들었음
10,완다가 많이 나와서 좋았음
10,평점낮아서 기대안하고 봤는데 너무너무너무너무 재밌었음돠평점낮은거 속상해서 첨으루 댓글담
10,진짜 마블 영화 최고다. 또 보고싶은 영화:)
10,조금 무서웠는데 짱잼이에용
10,첫째딸이 보러가자고 해서 가족들 다같이 보러갔어요. 둘째딸은 무서워서 아빠품에서 안겨서 보고ㅋ첫째딸은 무섭지만 재밌었다고 합니다.다음 마블 영화도 기대한다고 하네요.
5,샘 레이미 특유의 오랜된 연출이랑 닥스가 이제까지 보여줬던 화려한 연출이 전작들에비해 너무 허접했던거 빼면 연출적인 면에선 매우 좋았다...그런데 이런 연출적인 면들과 스토리의 조합이 영화를 너무 정신없는 듯하다...
10,재밌기만한데....
6,보는 내내 완다가 수많은 특수효과로 인해 힘들었겠다 생각.. 난잡스러운 감이 있지만 킬링타임으로는 굿 완다의 행복을 빕니다
6,음표에서 평정심 잃음
10,마블 최고의 호러 및 마법 엑션 영화
10,완다비전이랑 왓이프 꼭 보고가야함.
9,"약간의 호러물, 약간 너프된 닥스, 너프된 웡, 옛스러운 연출, 만렙 완다, 그러나 재밌음"
5,영화끝날때까진 그래도 평점7생각했는데 어떤 쿠키두개다보라는 양심판블로거말듣고 2번째쿠키보는순간 평점5점됨
10,장르가 몇없던 mcu에 새로운 장르를 시도해서 너무 신선했어요
8,볼만한데 기대보다는 살짝 아쉬웠음
10,역시 마블은 최고의영화
1,너무너무너무너무졸려요
1,완다비전 로키 다 재밌게 봤는데 이건 30분정도 이후로 볼 게 못됩니다 B급 스릴러코미디 그 이하임 마블에서 이런걸 만들었다는게 너무 배신감들고 좋은추억만 남기고 하차합니다
10,기대했건 캐릭터들은 안나왔지만 충분히 매력있게 그려냈다 기존의 마블영화를 뒤엎었다
5,이제 마블영화가 유치한 B급 호러 영화가 됐네
6,진짜 영화관에서 팝콘은 금지시켜야함 ㄹㅇ
2,한시간반동안 온 우주를 뒤집고10초만에 반성
10,아그냥 말다함 진짜 제발 꼭 봐줘요 너무 행복ㅎㅐ
9,멀티버스 넘어다니는게 넘 재밋었음ㅋ
10,너무 재밌었음. 마블중엔 닥터가 최고!
6,하긴.. 이영화의 감독은 호러영화의 거장이었..
9,완다 타노스랑 싸울때 뭐했지?재미는 있었습니다
9,스토리 자체가 좋은것같음
10,향후 마블의 멀티버스 세계관이 기다려지네요
10,가족 멜로영화 입니다.
6,걍… 바뀐 감독의 색이 너무 잘보였음 근데 그게 별로였던.. 너무 기괴하고 정신없었다 내용도 별로
10,마블영화좋아해서. 나쁘지않아요. 유치하고 호러스런장면이있었으나 만족
10,완다비젼 꼭 보고나서 봐야해요마블 팬으로써 너무 잼나게 봤어요!쿠키 2개 있어용
4,"강력한 두 마법사인 스트레인지,스칼렛위치를초 소규모 액션들로 소비해버린 영화무대는 축구장인데 탁구대갖다놓고 그위에서 복싱함오히려 마블 팬이라서 더 실망스러움배우들이 연기력이 좋아서 망정이지 개망할뻔함 타노스와 싸우며 수백으로 분열하던 스트레인지는 어디가고 작은마법 뿅뿅이만소서러수프림 웡은 어디가고 채찍원툴만시도는 좋은데.. 원하는느낌은 알겠는데..이전 영화들에서 보던 규모가 크고 스펙타클한 액션은 절대 볼 수 없음좀비스트레인지.. 멋있는데.. 멋있는데...다른것도..좋은데..왜..왜.... 그거갖고 그거밖에 못뽑아.."
10,재밌어요 3번이나 보러갓내요
10,이 영화 보고 평점테러 날린 사람들은 완다비전 안보고 보니까 그런겁니다. 완다비전 보고 안보고가 이 영화의 재미를 하늘과 땅 차이로 만듭니다. 개인적으로 마블 시리즈 중 TOP 3 안에 들어요
10,샘레이미 감독 연출이 너무 멋있네요
1,헐~너무 재미없어서 졸다가 나온 최악의 영화.현란한 CG를 빼면 3류 한국 영화보다 못한 C급 영화의 결정판. 본 시간이 아깝다. 줄수 있는 최저 점수가 1밖에 없다는게 원통하다. ㅋㅋ
2,진짜 솔직히 역대급 재미없이봐서 도중에 세번인가 좀
2,친구가 좋아해서 보러갔는데 영 .. 나랑은 안맞음 유치뽕짝 ㅜㅜ 보는거 참다가 졸도할뻔 ㅜㅜ
4,호러 괴기 찝찝해요 마블의 개운함 상실
10,약 스포일수 있는데 좀 잔인(?)한 장면이 있음 물론 잔인하게 죽은시체는 드러내진 않고 그 상황이 나옴 그래서 좀 싫어할수있음
6,디즈니 이후 마블은 인물이 평면적이고 스토리의 개연성도 떨어짐. 철학이 빠지고 권선징악만 남은 아동용 헐리우드 영화 같은 느낌을 지울 수가 없음. 배우들이 간신히 살려놓는 느낌.
10,주인공 중심의 스토리텔링 샘 레이미 짱!!!!
6,그냥 그럭저럭 볼만했음
2,제법 별로다 시간이 사실 아까웠을 정도다
2,마블에서 쓰레기를 만들었다
6,멋진 닥터 스트레인지를 이 정도로밖에 표현 못 하다니. 처음 볼땐 재밌었는데 두세번 볼수록 불만 쌓임
8,8점은 되는 영화임! 영상에사 자본이 느껴짐... 수
8,호러인줄 모르고 봤다가 무서워서 조금 쫄았네
10,보는내내 눈이 즐거웠습니다.
1,OOOO영화 추천드림
10,생각보다 재미있고 내용도 괜찮
10,너무 재미있다. 유튭에서 요약본보고오먼 더 재밌음
10,3번 봤어요.. 진짜 추천합니다ㅠㅠ 두번째 쿠키 영상은 꼭 보시길.
3,난해하고 난잡하게만 보였다..
10,올해 최고의 영화가 아닐까 싶습니다. 시작부터 끝까지 2시간이 금방 가더군요 몰입감 최고고요 N차 관람 하러 거야겠습니다 ^^
6,솔직히 완다비전이 더무서웠음
2,화려한 액션 과 그래픽 굿 이지만....정신분열증 날거 같은 소리 와 깜빡이는 영상? 어지럽고 머리 아픔....12세가 보기에는 잔인함 그리고 내용복잡...평점이 7점 이상 나와서 제 생각에 5점 이하 인듯한 영화....
10,너무 재밌었어요 몰입감 오짐
6,누구나 쉽게 이해할 수 있는 전개와악보 음표까지 이용하는 연출거기다 좀비 스트레인져까지최근에 본 무비중에서 제일 볼 만하다는.하지만 12세 관람가를 고려한다면간혹 잔인한 씬이 좀 있음
2,"일단 싸움씬들이 굉장히 난잡하고 어정쩡함 중국형 히어로물을 보는듯함, 특히 짭캡틴마블이랑 완다가 빙글빙글 도는 장면은 진짜 중국영화를 보는듯했고 닥터스트레인지가 음표로 싸울때는 어이가 없어 웃겼음 모든 싸움씬이 다 멍청해보임 두번째로 상당히 기괴하고 고어함, 마블 영화 중 고어함 탑 3위안에 들거같음. 스토리도 완다를 희생시키면서 까지 이렇게 만들어야 했을까 라는 의문이 먼저 듬"
10,완다 너무나도 감동입니다
10,남편이 안 존거 보면 잼있었네요
4,아동 영화로 추락 ㅜ ㅜ 유치하다.
7,대혼돈이긴 한거 같습니다
6,이것 저것 그만좀 섞었으면 좋겠음. 세계관 확장을 해도 적당히 해야지 왜 이렇게까지 난잡하게...? '멀티버스' 자체가 문제인듯.. 이미 돌이킬 수 없는 길을 가는 마블이다 진ㅉㅏ...그럼에도 보는 나는 예전 마블과의 추억이 너무 좋았던것..
10,베네딕트 존ㅇ나 멋있다 무조건 꼭 보세요
10,윽까 적당히 하세요 예??진짜 재밌게 봤습니다속지말고 그냥 보세요 볼만합니다
10,재밌어용!! 진짜 꿀잼잼
9,감성이 있으면 이상하다랄까 중간에 음표 날려서 갬성이 깨져부림(내 갬성 ㅠㅠ) 4b로 봐서 잼썼지만 금쪽 같은 내 새끼 보는줄(중간 중간마다는 재밌답니다^^)
2,너무너무 시간아깝고 오글오글
7,너무 유치햇어요ㅠ 예전의 마블느낌이 사라진듯해요
8,영상미는 정말 좋았지만 이건 완다의 멀티버스....ㅠ
1,그동안 마블 정말 좋아했지만 이건 아니지... 샹치 이터널스를 이은 마블 워스트 3 안에 드는 영화..
7,세계관 확장은 좋았지만 매력적이지 않다
10,평이 호불호 갈려서 걱정했는데 생각보다 너무 재밌게 봄ㅠ 스트레인지 개 매력있고 완다 조녜 존멋 ㅠㅠ 둘이 같이 싸웠어도 케미 조았을거 같은데 아쉽네요 이만하면 다음대 어벤져스 리더는 스트레인지 어떨지ㅋ 스파이더맨이랑도 케미 조은데.. 역시 마블은 믿고 봅니다
5,마블스러운 느낌은 전혀 없음유치한 연출과 빈약한 스토리 라인 때문에 영화보다는 팝콘에 집중하며 봄
10,꼭보세요:) 멀티버스시리즈몰라도 걍보면됨
10,ㄹㅇ 리뷰보고 재미없을줄 알고 기대안하고 봐서 그런지 ㄹㅇ 너무 재밌게봄갑작스럽게 진행하는 것 같이 느껴지긴 햇는데연출이고 cg고 너무 재밌어서 재밋게봄
10,2편은 1편을 뛰어넘지 못하는데 이번2편 충분히 재밌었다-!
10,중간에 개연성없는 장면들에 읭 했지만 전반적으로 볼거리가 많은 영화엿음
9,"메타버스나 감독의 이전작품 오마주, 연기, cg 모두 완벽했다2시간이라는 짧지않은 러닝타임동안 늘어지지않는 스토리도 굿 아주 가끔 유치한 장면 있어서 1점은 뺐어여"
10,MCU판 데바데ㄷㄷㄷ
1,느낌이 쎄~한 영화는 평점을 살펴보고 보는편인데... 낮은점수 주신분들이 꼬집는 부분들 눈여겨볼껄... 하다못해 그냥 2d로만 봤으면 돈이라도 덜 아깝지 괜히 아이맥스로... 나중에 스트리밍서비스할때나 볼껄... 기존 MCU 영화의 그 순수한 히어로 감성을 바라는건 욕심이었나...어째서 일반 티비 시리즈 퀄 인지...아아....내돈...내시간....
1,꼭 샘레이미 여야만 했냐…
8,약간의 오바가 잇지만 충분히 감상할만하다
8,볼만했어요. 완다비전을 봐야하나..
8,볼만하고 재밌였다 음표는 좀 개연성없고 뜬금없었다 ㄷ근데 무서운장면이 많았다 뉴욕나와서 좋았다
10,닥터스트 레인지 액션장면이 아주 아름다웠다..~♡♡
10,평보고 걱정됐지만 완전 재밌게 보고옴
10,진심 최고의 영화다진심으로 정말 너무 최고다
1,마블영화는 이제 안드로메다로 가버렸군....
10,완다비전의 스토리를 미리 알고 본다면 평점이 달라질 닥스2입니다 완다 ㅠ
8,중간중간 유치하긴 하지만 볼만했어요~ 완다비전 보고나면 더 재밌게 볼 수 있어요. 줄거리 모르고 갔는데 호러 느낌도 좀 나고 퍼스트어벤져생각도 나네요
8,"아이언맨이 있을때의 마블이 그립긴한데, 새로운 마블도 매력은 있다. 확실히 이젠 디즈니플러스 드라마없이는 백프로 이해하긴 힘들듯하다."
2,5월달 최악에 영화 공포 영화인줄 깜짝 깜짝놀래게하고 음표날리는거 개유치해서 못봐주겠더라ㅋㅋㅋ ㅇㅣ거 잼난다고하는애들은 초딩 100퍼
10,진짜 2시간이 시간가는 줄 모르고 재밌게 봤어요.. 화려한 CG. 탄탄한 스토리. 모두 굿
10,볼만 했습니다.
10,먼저 음악으로 공포감을 조성하는데 많은 역할을 하였고 갑자기 사람지는 장면으로 분위기 조성이 기가막힙니다그리고 색깔과 cg는 말할 것도 없이 훌륭하고요이 영화는 다른 마블영화와 다르게 시원한 요소가 많지는 않지만 다른 느낌으로 아주 훌륭한 작품이라고 생각합니다
7,아이언맨이그립다. 차베스가 다른지구에 아이언맨데려와라
5,마블 역대급 노잼
7,완다와 스티븐의 심령좀비영화
7,모성애 부분을 너무 부각 시켜서 영화를 제작하신 것 같아요.
8,명작까지는 아니지만 볼만했습니다.
10,마블 코믹스를 좀 잘 알고 이전 스토리를 안 다면 훨씬 더 재미있을 듯
8,"이전 시리즈들과 다르게 너무 공포영화 삘이 많이 나서 아쉬웠어여,, 감독이 공포영화 참고 많이했나봐여 무섭"
10,겁나 재밌어요 ..??
10,너무 평점이 별로 길래 기대 안하고 봐서 인지 지루하지 않게 재밌게 봤습니다. 음표 나오는 부분이 약간 유치하긴했으나 스파이더맨 노웨이홈보다 고구마나 신파가 없고 액션이 많아 재미있었어요.
10,역시 믿고보는 마블영화 잘봤습니다
10,진짜 재밌었음 특히 완다가 완다에게 위로받는 장면은 진짜 눈물로 홍수 만들고옴
10,드라마 다 보고 보면 재밌음
1,중간에 나옴 0점은 못주나요?
4,아니 뭔 좀비영화를 찍어놨어..
8,마블 유니버스가 이렇게 확장되네요. 마지막 마무리는 살짝 아쉽습니다.
10,또보고싶다..개멋있다
10,음표 넘 멋졌는데 왜 유치하다고 하지..난 처음부터 끝까지 너무너무 재밌음!완다 연기 최고! 물이었냐 유리였나 그 사이로 나올 때 무서웠음..
8,오랜만에 극장에서 팝콘과 함께 하니 재밌네요. 마블은 극장에서
1,마블도 페미화 다 되었다.. 토르도 이런식이면 절대 다시 마블 안본다
10,진짜 퀄리티 미쳤음.역시 존버는 승리한다!!
10,난 솔직히 재밌게 봤다 쿠키영상보니까 다음 것도 벌써 기대됨
4,"글쎄요. 이제 마블의 세계관이 너무 심하게 멀리가네요. 현실과는 너무 먼! 음표 격투씬 무엇, 기대한 만큼 실망감도 큰 ~ 권하지는 않을 영화, 궁금해서 한번쯤 볼 영화 그렇지만 그다지... 재미는..."
7,너무 조잡 해졌어요. 영화 저체가너무 판타지로 만들려다 초딩 공포 영화? 느낌이에요 ..
10,친구들이랑 봤는데 너무 너무 너무 재밌게 봤어요!!^^덕분에 정말 즐거운 시간 보냈네요~^^
10,정말 재미있게 보았고 좋아하던 공포영화 감독님 작품이라 그런지 색감이 진하게 묻어 나오네요
7,음표대전은 넘 아쉽 ..
7,혐오스런 완츠코의 일생
10,재있게 봄. 멀티버스에대한 이후 스토리가 궁금
1,너무 유치하고 액션이 초라함
10,마블 첫입문이었는데 재밌었어요 기말 끝나고 마블 정주행할 거임
10,재밌다! 마블 시리즈를 다 보고 있는데 이번작도 재밌게 봤다.
9,평점이 낮은거 같아서 얼마나 별론가 봤는데 제마음에는 들었어요 ㅎㅎ 일단 여러가지 영화가 생각나게 하는 오마주 같은것들이 재밌었고 영혼으로 망토를 만든다던가 정신속에 붉은 연기라던가 음표와 오선지로 공격하던것과 소소하게 웃긴 대사들 좋았어요 ㅎㅎ 공포영화 같기도 하고 좀비영화같기도 하고 눈 세개 닥스라니 좀 비호감이긴합니다만 ㅋㅋㅋㅋ 재밌었어요아 그리고 꿈이 멀티버스라는데 저는 진찌 특이한꿈 많이 꾸거든요~ 날개달린 아빠가 피를 흘리고있다던지 . 내가 마법사집단의 쫄다구로 훈련받고 있다던지. 염소들이 면사포를쓰고 체스를 하고 있다던지. 2차원 애니메이션의 괴물이랑 같이 논다던지 ㅎㅎ 저는 여러 우주에 있나봐요 . 저희 남편은 꿈에 온갖 미녀들이 꿈에 나온다네요 하하
7,샘 레이미의 B급 테이스트가 가미된 마블영화는 기발하다만 스토리를 이해하기 위해 드라마까지 봐야하는건 뇌절아닌가?
1,연출이 너무 지루하다못해 아이들 억지 감성에 음표는 왜날리는건지.마블도 이제 맛이갔네.
10,완다가 이렇게 쎈케였는지 이제 알았네요ㅎㅎㅎ
8,그럭저럭 재밌게 봤음. 예전 인피니티워 스토리라인과 비교시 많이 후달리지만 그래도 최근에 나오는 영화 중 가장 재밌는 것은 부정할 수 없다. 물론 이상한 부분 많지만 그냥 그러려니 하면서 봐야됨..
1,마 : 마지막이다 마블영화 이젠블 : 불만만 가득한 관람객들
10,끝났어 끝났다고오오!!
8,평행우주세계를 멋드러지게 잘표현함
10,완전 잼있어요 강추:) 심장 쫄깃쫄기하고 지루할틈이없었어요
2,마블은끝났다 진짜 시간아깝고 노잼
4,마블 은 엔드 게임 이후 왜 다 이모양인지 스파이더맨 빼곤 다 기대이하네요. 오랜만에 극장 갔는데 기대 이하네요
9,"칭찬할점 : 완다가 연기를 너무 잘함. 호러연출이 엄청 조금만 나왔는데 이것만 보고도 느껴지는점 - '몇배는 더 무섭게 연출할 수 있는데 심의에서 빠꾸먹어서 역량을 다 못보여준느낌' // 부족한 점 : 마법이 별로임. 웡은 계속 안좋은 모습만 보여줄거면 걍 캐릭터 죽게하는게 마블한테 좋을듯. 완다 드라마 안보고 보면 생각보다 별로일듯. // 의문 : 닥스 전여친이 닥스에게 '너가 칼자루를 쥔 입장이라서 떠났다' 라고 하는데, 닥스는 항상 어쩔 수 없는 입장 아니었나? 결국 결과만 놓고보면 전여친이 칼자루를 쥐고 베어버린건데, 전여친이 원하는건 뭐였을까? 영화가 보여주고싶은건 뭐였을까?"
10,기존의 마블영화 느낌이 아니고 호러영화느낌때문에 호불호가 갈렸을수도 있어도 저는 굉장히 꿀잼이었습니다.
4,맘충 좀비 유사 공포영화
3,뭔 호러 영화를 만들어놈... 개실망
10,개인적으로 너무 재밌게 봄
10,"시작부터 1시간2~30분쯤까지는 10점인데, 뒷부분이 좀 지루한듯,유치한듯? 그래도 8.5~9점정도 되는거같음. 평점이 지나치게 낮은것같아 좀 올려봅니다"
10,믿고보는 마블영화 ㅋㅋ
1,진짜 최악중에 최악이였음 무슨 3류 마블 패러디 영화 보는줄
10,샘 레이미 그냥 최고다 스토리도 최고
10,보는 내내 집중이 잘됬어요. 중간에 장르가 공포인가 하는 생각이 들었네요ㅋ
10,샘 레이미는 참 매력있는 감독이다
10,재밌었어요3도 돌아요
7,근데 이렇게 인기있을인인가융..나는 모르겠네 ㅠ
10,재밋음 무서웟음 재밋음
10,"다양한 장르도 멀티버스로 혼돈이지만 잘 버무렸습니다. 공포, 코믹, 좀비 등등 세계관도 버무리기까지 잘 쓰까먹은듯합니다"
10,"여자, 남자, 엄마 중에 엄마가 젤 강인하다는 걸 보여준 영화 ㅎㅎㅎ 지옥이랑 지우학 느낌이 있어서 좀비물 같기도 했지만 꿀잼♡_♡"
7,맘충의 멀티버스 불만기
2,최악의 마블영화 보다가 중간에 뛰쳐 나오고 싶었다. 보다가 중간에 이게 히어로 영화인지 B급 좀비 영화를 보는건지 혼란스러움. 연출이 너무 촌스럽고 효과음부터 전투씬도 돈도 아깝고 시간도 아까웠다.
