분류,부정리뷰,cleaned_text,spell_check
부정,헐~너무 재미없어서 졸다가 나온 최악의 영화.현란한 CG를 빼면 3류 한국 영화보다 못한 C급 영화의 결정판. 본 시간이 아깝다. 줄수 있는 최저 점수가 1밖에 없다는게 원통하다. ㅋㅋ,헐 너무 재미없어서 졸다가 나온 최악의 영화 현란한 CG를 빼면 3류 한국 영화보다 못한 C급 영화의 결정판 본 시간이 아깝다 줄수 있는 최저 점수가 1밖에 없다는게 원통하다 ,헐 너무 재미없어서 졸다가 나온 최악의 영화 현란한 CG를 빼면 3류 한국 영화보다 못한 C급 영화의 결정판 본 시간이 아깝다 줄 수 있는 최저 점수가 1밖에 없다는 게 원통하다 
부정,진짜 솔직히 역대급 재미없이봐서 도중에 세번인가 좀,진짜 솔직히 역대급 재미없이봐서 도중에 세번인가 좀,진짜 솔직히 역대급 재미없이 봐서 도중에 세 번인가 좀
부정,친구가 좋아해서 보러갔는데 영 .. 나랑은 안맞음 유치뽕짝 ㅜㅜ 보는거 참다가 졸도할뻔 ㅜㅜ,친구가 좋아해서 보러갔는데 영 나랑은 안맞음 유치뽕짝 보는거 참다가 졸도할뻔 ,친구가 좋아해서 보러 갔는데 영 나랑은 안 맞음 유치뽕짝 보는 거 참다가 졸도할 뻔
부정,호러 괴기 찝찝해요 마블의 개운함 상실,호러 괴기 찝찝해요 마블의 개운함 상실,호러 괴기 찝찝해요 마블의 개운함 상실
부정,제법 별로다 시간이 사실 아까웠을 정도다,제법 별로다 시간이 사실 아까웠을 정도다,제법 별로다 시간이 사실 아까웠을 정도다
부정,마블에서 쓰레기를 만들었다,마블에서 쓰레기를 만들었다,마블에서 쓰레기를 만들었다
부정,OOOO영화 추천드림,OOOO영화 추천드림,OOOO 영화 추천드림
부정,난해하고 난잡하게만 보였다..,난해하고 난잡하게만 보였다,난해하고 난잡하게만 보였다
부정,화려한 액션 과 그래픽 굿 이지만....정신분열증 날거 같은 소리 와 깜빡이는 영상? 어지럽고 머리 아픔....12세가 보기에는 잔인함 그리고 내용복잡...평점이 7점 이상 나와서 제 생각에 5점 이하 인듯한 영화....,화려한 액션 과 그래픽 굿 이지만 정신분열증 날거 같은 소리 와 깜빡이는 영상 어지럽고 머리 아픔 12세가 보기에는 잔인함 그리고 내용복잡 평점이 7점 이상 나와서 제 생각에 5점 이하 인듯한 영화,화려한 액션과 그래픽 굿이지만 정신분열증 날 거 같은 소리 와 깜빡이는 영상 어지럽고 머리 아픔 12세가 보기에는 잔인함 그리고 내용 복잡 평점이 7점 이상 나와서 제 생각에 5점 이하인듯한 영화
부정,"일단 싸움씬들이 굉장히 난잡하고 어정쩡함 중국형 히어로물을 보는듯함, 특히 짭캡틴마블이랑 완다가 빙글빙글 도는 장면은 진짜 중국영화를 보는듯했고 닥터스트레인지가 음표로 싸울때는 어이가 없어 웃겼음 모든 싸움씬이 다 멍청해보임 두번째로 상당히 기괴하고 고어함, 마블 영화 중 고어함 탑 3위안에 들거같음. 스토리도 완다를 희생시키면서 까지 이렇게 만들어야 했을까 라는 의문이 먼저 듬",일단 싸움씬들이 굉장히 난잡하고 어정쩡함 중국형 히어로물을 보는듯함 특히 짭캡틴마블이랑 완다가 빙글빙글 도는 장면은 진짜 중국영화를 보는듯했고 닥터스트레인지가 음표로 싸울때는 어이가 없어 웃겼음 모든 싸움씬이 다 멍청해보임 두번째로 상당히 기괴하고 고어함 마블 영화 중 고어함 탑 3위안에 들거같음 스토리도 완다를 희생시키면서 까지 이렇게 만들어야 했을까 라는 의문이 먼저 듬,일단 싸움 신들이 굉장히 난잡하고 어정쩡함 중국형 히어로물을 보는듯함 특히 짭캡틴마블이랑 완다가 빙글빙글 도는 장면은 진짜 중국 영화를 보는듯했고 닥터 스트레인지가 음표로 싸울 때는 어이가 없어 웃겼음 모든 싸움 신이 다 멍청해 보임 두 번째로 상당히 기괴하고 고려함 마블 영화 중 고려함 탑 3위안에 들 거 같음 스토리도 완다를 희생시키면서까지 이렇게 만들어야 했을까라는 의문이 먼저 듦
부정,아동 영화로 추락 ㅜ ㅜ 유치하다.,아동 영화로 추락 유치하다,아동 영화로 추락 유치하다
부정,너무너무 시간아깝고 오글오글,너무너무 시간아깝고 오글오글,너무너무 시간 아깝고 오글오글
부정,그동안 마블 정말 좋아했지만 이건 아니지... 샹치 이터널스를 이은 마블 워스트 3 안에 드는 영화..,그동안 마블 정말 좋아했지만 이건 아니지 샹치 이터널스를 이은 마블 워스트 3 안에 드는 영화,그동안 마블 정말 좋아했지만 이건 아니지 생치 이터 널스를 이은 마블 워스트 3 안에 드는 영화
부정,마블스러운 느낌은 전혀 없음유치한 연출과 빈약한 스토리 라인 때문에 영화보다는 팝콘에 집중하며 봄,마블스러운 느낌은 전혀 없음유치한 연출과 빈약한 스토리 라인 때문에 영화보다는 팝콘에 집중하며 봄,마블스러운 느낌은 전혀 없음 유치한 연출과 빈약한 스토리 라인 때문에 영화보다는 팝콘에 집중하며 봄
부정,느낌이 쎄~한 영화는 평점을 살펴보고 보는편인데... 낮은점수 주신분들이 꼬집는 부분들 눈여겨볼껄... 하다못해 그냥 2d로만 봤으면 돈이라도 덜 아깝지 괜히 아이맥스로... 나중에 스트리밍서비스할때나 볼껄... 기존 MCU 영화의 그 순수한 히어로 감성을 바라는건 욕심이었나...어째서 일반 티비 시리즈 퀄 인지...아아....내돈...내시간....,느낌이 쎄 한 영화는 평점을 살펴보고 보는편인데 낮은점수 주신분들이 꼬집는 부분들 눈여겨볼껄 하다못해 그냥 2d로만 봤으면 돈이라도 덜 아깝지 괜히 아이맥스로 나중에 스트리밍서비스할때나 볼껄 기존 MCU 영화의 그 순수한 히어로 감성을 바라는건 욕심이었나 어째서 일반 티비 시리즈 퀄 인지 아아 내돈 내시간,느낌이 쎄 한 영화는 평점을 살펴보고 보는 편인데 낮은 점수 주신 분들이 꼬집는 부분들 눈여겨볼걸 하다못해 그냥 2d로만 봤으면 돈이라도 덜 아깝지 괜히 아이맥스로 나중에 스트리밍서비스할 때나 볼걸 기존 MCU 영화의 그 순수한 히어로 감성을 바라는 건 욕심이었나 어째서 일반 티브이 시리즈 퀄 인지 아아 내 돈 내 시간
부정,꼭 샘레이미 여야만 했냐…,꼭 샘레이미 여야만 했냐 ,꼭 샘 레이미 여야만 했냐 
부정,마블영화는 이제 안드로메다로 가버렸군....,마블영화는 이제 안드로메다로 가버렸군,마블 영화는 이제 안드로메다로 가버렸군
부정,5월달 최악에 영화 공포 영화인줄 깜짝 깜짝놀래게하고 음표날리는거 개유치해서 못봐주겠더라ㅋㅋㅋ ㅇㅣ거 잼난다고하는애들은 초딩 100퍼,5월달 최악에 영화 공포 영화인줄 깜짝 깜짝놀래게하고 음표날리는거 개유치해서 못봐주겠더라 거 잼난다고하는애들은 초딩 100퍼,5월 최악에 영화 공포 영화인 줄 깜짝깜짝 놀라게 하고 음표 날리는 거 개 유치해서 못 봐주겠더라 거 재미난다고 하는 애들은 초등학생 100퍼
부정,마블 역대급 노잼,마블 역대급 노잼,마블 역대급 나 잼
부정,중간에 나옴 0점은 못주나요?,중간에 나옴 0점은 못주나요 ,중간에 나옴 0점은 못 주나요
부정,아니 뭔 좀비영화를 찍어놨어..,아니 뭔 좀비영화를 찍어놨어,아니 뭔 좀비 영화를 찍어놨어
부정,마블도 페미화 다 되었다.. 토르도 이런식이면 절대 다시 마블 안본다,마블도 페미화 다 되었다 토르도 이런식이면 절대 다시 마블 안본다,마블도 페미화 다 되었다 토르도 이런 식이면 절대 다시 마블 안 본다
부정,"글쎄요. 이제 마블의 세계관이 너무 심하게 멀리가네요. 현실과는 너무 먼! 음표 격투씬 무엇, 기대한 만큼 실망감도 큰 ~ 권하지는 않을 영화, 궁금해서 한번쯤 볼 영화 그렇지만 그다지... 재미는...",글쎄요 이제 마블의 세계관이 너무 심하게 멀리가네요 현실과는 너무 먼 음표 격투씬 무엇 기대한 만큼 실망감도 큰 권하지는 않을 영화 궁금해서 한번쯤 볼 영화 그렇지만 그다지 재미는,글쎄요 이제 마블의 세계관이 너무 심하게 멀리 가네요 현실과는 너무 먼 음표 격투신 무엇 기대한 만큼 실망감도 큰 권하지는 않을 영화 궁금해서 한 번쯤 볼 영화 그렇지만 그다지 재미는
부정,너무 유치하고 액션이 초라함,너무 유치하고 액션이 초라함,너무 유치하고 액션이 초라함
부정,연출이 너무 지루하다못해 아이들 억지 감성에 음표는 왜날리는건지.마블도 이제 맛이갔네.,연출이 너무 지루하다못해 아이들 억지 감성에 음표는 왜날리는건지 마블도 이제 맛이갔네,연출이 너무 지루하다 못해 아이들 억지 감성에 음표는 왜 날리는 건지 마블도 이제 맛이 갔네
부정,마 : 마지막이다 마블영화 이젠블 : 불만만 가득한 관람객들,마 마지막이다 마블영화 이젠블 불만만 가득한 관람객들,마 마지막이다 마블 영화 이젠 볼 불만만 가득한 관람객들
부정,마블은끝났다 진짜 시간아깝고 노잼,마블은끝났다 진짜 시간아깝고 노잼,마블은 끝났다 진짜 시간 아깝고 나 잼
부정,마블 은 엔드 게임 이후 왜 다 이모양인지 스파이더맨 빼곤 다 기대이하네요. 오랜만에 극장 갔는데 기대 이하네요,마블 은 엔드 게임 이후 왜 다 이모양인지 스파이더맨 빼곤 다 기대이하네요 오랜만에 극장 갔는데 기대 이하네요,마블 은 엔드 게임 이후 왜 다 이 모양인지 스파이더맨 빼곤 다 기대 이하네요 오랜만에 극장 갔는데 기대 이하네요
부정,맘충 좀비 유사 공포영화,맘충 좀비 유사 공포영화,맘 충 좀비 유사 공포영화
부정,뭔 호러 영화를 만들어놈... 개실망,뭔 호러 영화를 만들어놈 개실망,뭔 호러 영화를 만들어 놈 대실망
부정,진짜 최악중에 최악이였음 무슨 3류 마블 패러디 영화 보는줄,진짜 최악중에 최악이였음 무슨 3류 마블 패러디 영화 보는줄,진짜 최악 중에 최악이었음 무슨 3류 마블 패러디 영화 보는 줄
부정,최악의 마블영화 보다가 중간에 뛰쳐 나오고 싶었다. 보다가 중간에 이게 히어로 영화인지 B급 좀비 영화를 보는건지 혼란스러움. 연출이 너무 촌스럽고 효과음부터 전투씬도 돈도 아깝고 시간도 아까웠다.,최악의 마블영화 보다가 중간에 뛰쳐 나오고 싶었다 보다가 중간에 이게 히어로 영화인지 B급 좀비 영화를 보는건지 혼란스러움 연출이 너무 촌스럽고 효과음부터 전투씬도 돈도 아깝고 시간도 아까웠다,최악의 마블 영화 보다가 중간에 뛰쳐나오고 싶었다 보다가 중간에 이게 히어로 영화인지 B급 좀비 영화를 보는 건지 혼란스러움 연출이 너무 촌스럽고 효과음부터 전투 신도 돈도 아깝고 시간도 아까웠다
부정,배가 아팠는데 쿠키영상땜에 화장실 못 감,배가 아팠는데 쿠키영상땜에 화장실 못 감,배가 아팠는데 쿠키영상 땜에 화장실 못 감
부정,씹너잼 스토리 그냥 공포영화인줄 개 깜짝놀람,씹너잼 스토리 그냥 공포영화인줄 개 깜짝놀람,씹너잼 스토리 그냥 공포영화인 줄 개 깜짝 놀람
부정,너무 시끄럽고 12세 라기엔 좀 아닌 것 같음,너무 시끄럽고 12세 라기엔 좀 아닌 것 같음,너무 시끄럽고 12세 라기엔 좀 아닌 것 같음
부정,장난 똥때리나어처구니가 없네,장난 똥때리나어처구니가 없네,장난 똥 때리나 어처구니가 없네
부정,"항상 믿고 보는 마블 영화였는데, 후회 제대로 함. 아무리 상업 영화라도 이건 아니지.",항상 믿고 보는 마블 영화였는데 후회 제대로 함 아무리 상업 영화라도 이건 아니지,항상 믿고 보는 마블 영화였는데 후회 제대로 함 아무리 상업 영화라도 이건 아니지
부정,유치합니다. 최악입니다.실망입니다.오점입니다.도망가세요.,유치합니다 최악입니다 실망입니다 오점입니다 도망가세요,유치합니다 최악입니다 실망입니다 오점입니다 도망가세요
부정,이상한 느낌의 CG. 완다의 B급 호러 터널씬.. 기괴한 디멘션 탈출장면.닥스의 음표 대전투부터 마지막 엔딩스토리까지. 어느 하나 제대로 된게 없었다. 그나마 볼만한건 수십개의 멀티버스 이동장면?? 이마를 탁 치게한 영화는 오랜만이었다.,이상한 느낌의 CG 완다의 B급 호러 터널씬 기괴한 디멘션 탈출장면 닥스의 음표 대전투부터 마지막 엔딩스토리까지 어느 하나 제대로 된게 없었다 그나마 볼만한건 수십개의 멀티버스 이동장면 이마를 탁 치게한 영화는 오랜만이었다,이상한 느낌의 CG 완다의 B급 호러 터 날씬 기괴한 디멘션 탈출 장면 닥스의 음표 대전투부터 마지막 엔딩 스토리까지 어느 하나 제대로 된 게 없었다 그나마 볼만한 건 수십 개의 멀티버스 이동 장면 이마를 탁 치게 한 영화는 오랜만이었다
부정,쿠키에 카사딘이 나오네용,쿠키에 카사딘이 나오네용,쿠키에 카사딘이 나오네요
부정,"슬랩스틱과 익살스런, 코믹스스러움을 견디지 못하실 저와 같은 영화꼰대분들에겐 비추..",슬랩스틱과 익살스런 코믹스스러움을 견디지 못하실 저와 같은 영화꼰대분들에겐 비추,슬랩스틱과 익살스러운 코믹스스러움을 견디지 못하실 저와 같은 영화 꼰대 분들에겐 비추
부정,감독바꿔라감독바꿔라감독바꿔라감독바꿔라,감독바꿔라감독바꿔라감독바꿔라감독바꿔라,감독 바꿔라 감독 바꿔라 감독 바꿔라 감독 바꿔라
부정,꿀잼~입니다다1다다다,꿀잼 입니다다1다다다,꿀 잼입니다 1다다다
부정,예전에 어벤져스가 그립다 x_× 보는동안에 난 멀보는건지 심심해,예전에 어벤져스가 그립다 x 보는동안에 난 멀보는건지 심심해,예전에 어벤저스가 그립다 x 보는 동안에 난 멀 보는 건지 심심해
부정,A급 배우 B급 감성 CG와 배우만 일함,A급 배우 B급 감성 CG와 배우만 일함,A급 배우 B급 감성 CG와 배우만 일함
부정,"실망스러움 일루미나는 또 왜나옴, 좀이상함 암튼 실망했음",실망스러움 일루미나는 또 왜나옴 좀이상함 암튼 실망했음,실망스러움 일로 미나는 또 왜 나옴 좀 이상함 암튼 실망했음
부정,닥터스트레인지보다 눈에 띈 건 완다..! 영상미는 좋았어서 4점~,닥터스트레인지보다 눈에 띈 건 완다 영상미는 좋았어서 4점 ,닥터 스트레인지보다 눈에 띈 건 완다 영상미는 좋아서 4점 
부정,"근데 디즈니 플러스 완다비전 드라마 시리즈 안 보고, 이 영화를 본 사람들은, 솔직히 좀 많이 지루할 수 있음.",근데 디즈니 플러스 완다비전 드라마 시리즈 안 보고 이 영화를 본 사람들은 솔직히 좀 많이 지루할 수 있음,근데 디즈니 플러스 완다 비전 드라마 시리즈 안 보고 이 영화를 본 사람들은 솔직히 좀 많이 지루할 수 있음
부정,읍...읍...내입..,읍 읍 내입,읍 읍 내입
