분류,긍정리뷰,cleaned_text,spell_check
긍정,마블 드라마까지 다챙겨보는데 진짜 역대급 대존잼 첨부터 끝까지 거를 타선이 없다평점 왜 이런지 정말 모르겠네,마블 드라마까지 다챙겨보는데 진짜 역대급 대존잼 첨부터 끝까지 거를 타선이 없다평점 왜 이런지 정말 모르겠네,마블 드라마까지 다 챙겨 보는데 진짜 역대급 대전 잼 첨부터 끝까지 거를 타선이 없다 평점 왜 이런지 정말 모르겠네
긍정,약간 찐한 히어로물 원하면 별론데 고어틱하면서 판타지 영화로써 보면 최고,약간 찐한 히어로물 원하면 별론데 고어틱하면서 판타지 영화로써 보면 최고,약간 찐한 히어로물 원하면 별론데 고어틱하면서 판타지 영화로써 보면 최고
긍정,솔직히 마블시리즈 영화 처음보는사람으로서 마블의 세계는 넓구나 생각했음,솔직히 마블시리즈 영화 처음보는사람으로서 마블의 세계는 넓구나 생각했음,솔직히 마블 시리즈 영화 처음 보는 사람으로서 마블의 세계는 넓구나 생각했음
긍정,재미있는데 전작에 비하면 조금 아쉽다는 느낌?,재미있는데 전작에 비하면 조금 아쉽다는 느낌 ,재미있는데 전작에 비하면 조금 아쉽다는 느낌 
긍정,너무너무너무 재밌었음.. 베니랑 리지 연기 미쳤음 ㄹㅇ,너무너무너무 재밌었음 베니랑 리지 연기 미쳤음 ,너무너무너무 재밌었음 베니랑 리지 연기 미쳤음 
긍정,나는 너무너무너무 최고 재밌었는데 남친은 최악이었다고 함 ㅋㅋㅋ 극과극,나는 너무너무너무 최고 재밌었는데 남친은 최악이었다고 함 극과극,나는 너무너무너무 최고 재밌었는데 남자친구는 최악이었다고 함 극과 극
긍정,졸라 꿀잼인데,졸라 꿀잼인데,졸라 꿀 잼인데
긍정,제목 그대로 혼돈의 멀티버스 였네요.. ㄷㄷ 지루할틈이 없었습니다.. 그리고 엘리자베스 완다 개쎅시 했어요 ㅎㅎㅎ,제목 그대로 혼돈의 멀티버스 였네요 지루할틈이 없었습니다 그리고 엘리자베스 완다 개쎅시 했어요 ,제목 그대로 혼돈의 멀티버스였네요 지루할 틈이 없었습니다 그리고 엘리자베스 완다 개쎅시 했어요 
긍정,너무 재밌게 봤어요.. 감동적인 부분도 있고.. 근데 쿠키는 첫번째 거 까지만 보고 나오셔도 될듯요ㅠ,너무 재밌게 봤어요 감동적인 부분도 있고 근데 쿠키는 첫번째 거 까지만 보고 나오셔도 될듯요 ,너무 재밌게 봤어요 감동적인 부분도 있고 근데 쿠키는 첫 번째 거까지만 보고 나오셔도 될 듯요
긍정,배우들 연기 장난아님 영상연출도 기가막혔어요 공포랑 액션 감동까지 잘 믹스한거같아요,배우들 연기 장난아님 영상연출도 기가막혔어요 공포랑 액션 감동까지 잘 믹스한거같아요,배우들 연기 장난 아님 영상 연출도 기가 막혔어요 공포랑 액션 감동까지 잘 믹스한 거 같아요
긍정,왜 평점이 이거밖에안되지?? 완전재밌게 봣는뎅,왜 평점이 이거밖에안되지 완전재밌게 봣는뎅,왜 평점이 이거밖에 안되지 정말 재밌게 봤는데
긍정,완다의 비극공포영화에서 볼 수 있는 연출영화 상영시간 내내 느낀 사운드,완다의 비극공포영화에서 볼 수 있는 연출영화 상영시간 내내 느낀 사운드,완다의 비극 공포영화에서 볼 수 있는 연출 영화 상영시간 내내 느낀 사운드
긍정,무서워요ㅜ 두번째 쿠키 대박!,무서워요 두번째 쿠키 대박 ,무서워요 두 번째 쿠키 대박 
긍정,마블의 장르적 쾌감도 멀티버스로 대확장,마블의 장르적 쾌감도 멀티버스로 대확장,마블의 장르적 쾌감도 멀티버스로 대 확장
긍정,"마블 영화 잘 안 보는데 이거 보고 다 봐야하나 고민이,,,",마블 영화 잘 안 보는데 이거 보고 다 봐야하나 고민이 ,마블 영화 잘 안 보는데 이거 보고 다 봐야 하나 고민이 
긍정,평점이 갈리는건 완다비젼을 본사람과 안 본사람의 차이,평점이 갈리는건 완다비젼을 본사람과 안 본사람의 차이,평점이 갈리는 건 완다 비전을 본 사람과 안 본 사람의 차이
긍정,마블에서 탑으로 쎈 두 캐릭터지만 영화에선 기대했던 것보단 쎄게 안 나와서 좀 그랬지만... 그래도 난 재밌던데?,마블에서 탑으로 쎈 두 캐릭터지만 영화에선 기대했던 것보단 쎄게 안 나와서 좀 그랬지만 그래도 난 재밌던데 ,마블에서 탑으로 센 두 캐릭터지만 영화에선 기대했던 것보단 세게 안 나와서 좀 그랬지만 그래도 난 재밌던데 
긍정,닥터 스트레인지만의 차별화된 영상미가 좋아요,닥터 스트레인지만의 차별화된 영상미가 좋아요,닥터 스트레인지만의 차별화된 영상미가 좋아요
긍정,취향이 많이 탈 영화일 것 같다. 나는 정말 재밌게 봄. 연출력은 좋은데 각본이 아쉬움. 배우들 연기는 최고. 코믹스 닥스 원작을 본 사람으로서 이 영화가 닥스를 정말 잘 표현한 것 같다고 생각함.,취향이 많이 탈 영화일 것 같다 나는 정말 재밌게 봄 연출력은 좋은데 각본이 아쉬움 배우들 연기는 최고 코믹스 닥스 원작을 본 사람으로서 이 영화가 닥스를 정말 잘 표현한 것 같다고 생각함,취향이 많이 탈 영화일 것 같다 나는 정말 재밌게 봄 연출력은 좋은데 각본이 아쉬움 배우들 연기는 최고 코믹스 닥스 원작을 본 사람으로서 이 영화가 닥스를 정말 잘 표현한 것 같다고 생각함
긍정,너무 재밌게 봤우요 음표는 좀 웃기긴했지만,너무 재밌게 봤우요 음표는 좀 웃기긴했지만,너무 재밌게 봤우요 음표는 좀 웃기긴 했지만
긍정,소름끼칠정도로 섬세한 연출과 감독의 아름다운 철학관에 매료되어 정말 오랜만에 황홀감을 느꼈다. 천재 감독임은 틀림없다,소름끼칠정도로 섬세한 연출과 감독의 아름다운 철학관에 매료되어 정말 오랜만에 황홀감을 느꼈다 천재 감독임은 틀림없다,소름 끼칠 정도로 섬세한 연출과 감독의 아름다운 철학관에 매료되어 정말 오랜만에 황홀감을 느꼈다 천재 감독임은 틀림없다
긍정,완전 재밌어요~^^ 두번 보고싶어요~ 1편보다 잼나~~,완전 재밌어요 두번 보고싶어요 1편보다 잼나 ,정말 재밌어요 두 번 보고 싶어요 1편보다 재미나
긍정,그냥 존나 재밌음 다소 유치하다고 느낄 요소가 중간에 딱 두번정도 있는데 거슬릴 정도는 아님 전체적으로 잘 만들었음,그냥 존나 재밌음 다소 유치하다고 느낄 요소가 중간에 딱 두번정도 있는데 거슬릴 정도는 아님 전체적으로 잘 만들었음,그냥 존나 재밌음 다소 유치하다고 느낄 요소가 중간에 딱 두 번 정도 있는데 거슬릴 정도는 아님 전체적으로 잘 만들었음
긍정,완다가 많이 나와서 좋았음,완다가 많이 나와서 좋았음,완다가 많이 나와서 좋았음
긍정,평점낮아서 기대안하고 봤는데 너무너무너무너무 재밌었음돠평점낮은거 속상해서 첨으루 댓글담,평점낮아서 기대안하고 봤는데 너무너무너무너무 재밌었음돠평점낮은거 속상해서 첨으루 댓글담,평점 낮아서 기대 안 하고 봤는데 너무너무너무너무 재밌었음 돠 평점 낮은 거 속상해서 첨으로 댓글 닮
긍정,진짜 마블 영화 최고다. 또 보고싶은 영화:),진짜 마블 영화 최고다 또 보고싶은 영화 ,진짜 마블 영화 최고다 또 보고 싶은 영화 
긍정,조금 무서웠는데 짱잼이에용,조금 무서웠는데 짱잼이에용,조금 무서웠는데 짜증 잼이에 용
긍정,첫째딸이 보러가자고 해서 가족들 다같이 보러갔어요. 둘째딸은 무서워서 아빠품에서 안겨서 보고ㅋ첫째딸은 무섭지만 재밌었다고 합니다.다음 마블 영화도 기대한다고 하네요.,첫째딸이 보러가자고 해서 가족들 다같이 보러갔어요 둘째딸은 무서워서 아빠품에서 안겨서 보고 첫째딸은 무섭지만 재밌었다고 합니다 다음 마블 영화도 기대한다고 하네요,첫째 딸이 보러 가자고 해서 가족들 다 같이 보러 갔어요 둘째 딸은 무서워서 아빠 품에서 안겨서 보고 첫째 딸은 무섭지만 재밌었다고 합니다 다음 마블 영화도 기대한다고 하네요
긍정,재밌기만한데....,재밌기만한데,재밌기만 한데
긍정,마블 최고의 호러 및 마법 엑션 영화,마블 최고의 호러 및 마법 엑션 영화,마블 최고의 호러 및 마법 액션 영화
긍정,완다비전이랑 왓이프 꼭 보고가야함.,완다비전이랑 왓이프 꼭 보고가야함,완다 비전이랑 왓 이프 꼭 보고 가야 함
긍정,"약간의 호러물, 약간 너프된 닥스, 너프된 웡, 옛스러운 연출, 만렙 완다, 그러나 재밌음",약간의 호러물 약간 너프된 닥스 너프된 웡 옛스러운 연출 만렙 완다 그러나 재밌음,약간의 호러물 약간 너프 된 닥스 너프 된 웡 예스러운 연출 만렙 완다 그러나 재밌음
긍정,장르가 몇없던 mcu에 새로운 장르를 시도해서 너무 신선했어요,장르가 몇없던 mcu에 새로운 장르를 시도해서 너무 신선했어요,장르가 몇 없던 mcu에 새로운 장르를 시도해서 너무 신선했어요
긍정,역시 마블은 최고의영화,역시 마블은 최고의영화,역시 마블은 최고의 영화
긍정,기대했건 캐릭터들은 안나왔지만 충분히 매력있게 그려냈다 기존의 마블영화를 뒤엎었다,기대했건 캐릭터들은 안나왔지만 충분히 매력있게 그려냈다 기존의 마블영화를 뒤엎었다,기대했건 캐릭터들은 안 나왔지만 충분히 매력 있게 그려냈다 기존의 마블 영화를 뒤엎었다
긍정,아그냥 말다함 진짜 제발 꼭 봐줘요 너무 행복ㅎㅐ,아그냥 말다함 진짜 제발 꼭 봐줘요 너무 행복 ,아 그냥 말다 함 진짜 제발 꼭 봐줘요 너무 행복 
긍정,멀티버스 넘어다니는게 넘 재밋었음ㅋ,멀티버스 넘어다니는게 넘 재밋었음 ,멀티버스 넘어 다니는 게 너무 재밌었음
긍정,너무 재밌었음. 마블중엔 닥터가 최고!,너무 재밌었음 마블중엔 닥터가 최고 ,너무 재밌었음 마블 중엔 닥터가 최고 
긍정,완다 타노스랑 싸울때 뭐했지?재미는 있었습니다,완다 타노스랑 싸울때 뭐했지 재미는 있었습니다,완다 타노스랑 싸울 때 뭐 했지 재미는 있었습니다
긍정,스토리 자체가 좋은것같음,스토리 자체가 좋은것같음,스토리 자체가 좋은 것 같음
긍정,향후 마블의 멀티버스 세계관이 기다려지네요,향후 마블의 멀티버스 세계관이 기다려지네요,향후 마블의 멀티버스 세계관이 기다려지네요
긍정,가족 멜로영화 입니다.,가족 멜로영화 입니다,가족 멜로 영화입니다
긍정,마블영화좋아해서. 나쁘지않아요. 유치하고 호러스런장면이있었으나 만족,마블영화좋아해서 나쁘지않아요 유치하고 호러스런장면이있었으나 만족,마블 영화 좋아해서 나쁘지 않아요 유치하고 호러스러운 장면이 있었으나 만족
긍정,완다비젼 꼭 보고나서 봐야해요마블 팬으로써 너무 잼나게 봤어요!쿠키 2개 있어용,완다비젼 꼭 보고나서 봐야해요마블 팬으로써 너무 잼나게 봤어요 쿠키 2개 있어용,완다 비전 꼭 보고 나서 봐야 해요 마블 팬으로서 너무 재미나게 봤어요 쿠키 2개 있어요
긍정,재밌어요 3번이나 보러갓내요,재밌어요 3번이나 보러갓내요,재밌어요 3번이나 보러 간 내요
긍정,이 영화 보고 평점테러 날린 사람들은 완다비전 안보고 보니까 그런겁니다. 완다비전 보고 안보고가 이 영화의 재미를 하늘과 땅 차이로 만듭니다. 개인적으로 마블 시리즈 중 TOP 3 안에 들어요,이 영화 보고 평점테러 날린 사람들은 완다비전 안보고 보니까 그런겁니다 완다비전 보고 안보고가 이 영화의 재미를 하늘과 땅 차이로 만듭니다 개인적으로 마블 시리즈 중 TOP 3 안에 들어요,이 영화 보고 평점 테러 날린 사람들은 완다 비전 안 보고 보니까 그런 겁니다 완다 비전 보고 안 보고가 이 영화의 재미를 하늘과 땅 차이로 만듭니다 개인적으로 마블 시리즈 중 TOP 3 안에 들어요
긍정,샘레이미 감독 연출이 너무 멋있네요,샘레이미 감독 연출이 너무 멋있네요,샘 레이미 감독 연출이 너무 멋있네요
긍정,약 스포일수 있는데 좀 잔인(?)한 장면이 있음 물론 잔인하게 죽은시체는 드러내진 않고 그 상황이 나옴 그래서 좀 싫어할수있음,약 스포일수 있는데 좀 잔인 한 장면이 있음 물론 잔인하게 죽은시체는 드러내진 않고 그 상황이 나옴 그래서 좀 싫어할수있음,약 스포일 수 있는데 좀 잔인 한 장면이 있음 물론 잔인하게 죽은 시체는 드러내진 않고 그 상황이 나옴 그래서 좀 싫어할 수 있음
긍정,주인공 중심의 스토리텔링 샘 레이미 짱!!!!,주인공 중심의 스토리텔링 샘 레이미 짱 ,주인공 중심의 스토리텔링 샘 레이미 짱 
긍정,보는내내 눈이 즐거웠습니다.,보는내내 눈이 즐거웠습니다,보는 내내 눈이 즐거웠습니다
긍정,생각보다 재미있고 내용도 괜찮,생각보다 재미있고 내용도 괜찮,생각보다 재미있고 내용도 괜찮
긍정,너무 재미있다. 유튭에서 요약본보고오먼 더 재밌음,너무 재미있다 유튭에서 요약본보고오먼 더 재밌음,너무 재미있다 유튜브에서 요약본 보고 오먼 더 재밌음
긍정,3번 봤어요.. 진짜 추천합니다ㅠㅠ 두번째 쿠키 영상은 꼭 보시길.,3번 봤어요 진짜 추천합니다 두번째 쿠키 영상은 꼭 보시길,3번 봤어요 진짜 추천합니다 두 번째 쿠키 영상은 꼭 보시길
긍정,올해 최고의 영화가 아닐까 싶습니다. 시작부터 끝까지 2시간이 금방 가더군요 몰입감 최고고요 N차 관람 하러 거야겠습니다 ^^,올해 최고의 영화가 아닐까 싶습니다 시작부터 끝까지 2시간이 금방 가더군요 몰입감 최고고요 N차 관람 하러 거야겠습니다 ,올해 최고의 영화가 아닐까 싶습니다 시작부터 끝까지 2시간이 금방 가더군요 몰입감 최고고요 N 차 관람하러 거야겠습니다 
긍정,너무 재밌었어요 몰입감 오짐,너무 재밌었어요 몰입감 오짐,너무 재밌었어요 몰입감 오짐
긍정,완다 너무나도 감동입니다,완다 너무나도 감동입니다,완다 너무나도 감동입니다
긍정,남편이 안 존거 보면 잼있었네요,남편이 안 존거 보면 잼있었네요,남편이 안 존 거 보면 재밌었네요
긍정,베네딕트 존ㅇ나 멋있다 무조건 꼭 보세요,베네딕트 존 나 멋있다 무조건 꼭 보세요,베네딕트 존 나 멋있다 무조건 꼭 보세요
긍정,윽까 적당히 하세요 예??진짜 재밌게 봤습니다속지말고 그냥 보세요 볼만합니다,윽까 적당히 하세요 예 진짜 재밌게 봤습니다속지말고 그냥 보세요 볼만합니다,윽까 적당히 하세요 예 진짜 재밌게 봤습니다 속지 말고 그냥 보세요 볼만합니다
긍정,재밌어용!! 진짜 꿀잼잼,재밌어용 진짜 꿀잼잼,재밌어요 진짜 꿀잼잼
긍정,감성이 있으면 이상하다랄까 중간에 음표 날려서 갬성이 깨져부림(내 갬성 ㅠㅠ) 4b로 봐서 잼썼지만 금쪽 같은 내 새끼 보는줄(중간 중간마다는 재밌답니다^^),감성이 있으면 이상하다랄까 중간에 음표 날려서 갬성이 깨져부림 내 갬성 4b로 봐서 잼썼지만 금쪽 같은 내 새끼 보는줄 중간 중간마다는 재밌답니다 ,감성이 있으면 이상하다랄까 중간에 음표 날려서 갬성이 깨져 부림 내 갬성 4b로 봐서 잼 썼지만 금쪽같은 내 새끼 보는 줄 중간중간마다 늘 재밌답니다 
긍정,평이 호불호 갈려서 걱정했는데 생각보다 너무 재밌게 봄ㅠ 스트레인지 개 매력있고 완다 조녜 존멋 ㅠㅠ 둘이 같이 싸웠어도 케미 조았을거 같은데 아쉽네요 이만하면 다음대 어벤져스 리더는 스트레인지 어떨지ㅋ 스파이더맨이랑도 케미 조은데.. 역시 마블은 믿고 봅니다,평이 호불호 갈려서 걱정했는데 생각보다 너무 재밌게 봄 스트레인지 개 매력있고 완다 조녜 존멋 둘이 같이 싸웠어도 케미 조았을거 같은데 아쉽네요 이만하면 다음대 어벤져스 리더는 스트레인지 어떨지 스파이더맨이랑도 케미 조은데 역시 마블은 믿고 봅니다,평이 호불호 갈려서 걱정했는데 생각보다 너무 재밌게 봄 스트레인지 개 매력 있고 완다 조녜 존멋 둘이 같이 싸웠어도 케미 좋았을 거 같은데 아쉽네요 이만하면 다음 대 어벤저스 리더는 스트레인지 어떨지 스파이더맨이랑도 케미 좋은데 역시 마블은 믿고 봅니다
긍정,꼭보세요:) 멀티버스시리즈몰라도 걍보면됨,꼭보세요 멀티버스시리즈몰라도 걍보면됨,꼭 보세요 멀티버스 시리즈 몰라도 그냥 보면 됨
긍정,ㄹㅇ 리뷰보고 재미없을줄 알고 기대안하고 봐서 그런지 ㄹㅇ 너무 재밌게봄갑작스럽게 진행하는 것 같이 느껴지긴 햇는데연출이고 cg고 너무 재밌어서 재밋게봄, 리뷰보고 재미없을줄 알고 기대안하고 봐서 그런지 너무 재밌게봄갑작스럽게 진행하는 것 같이 느껴지긴 햇는데연출이고 cg고 너무 재밌어서 재밋게봄, 리뷰 보고 재미없을 줄 알고 기대 안 하고 봐서 그런지 너무 재밌게 봄 갑작스럽게 진행하는 것 같이 느껴지긴 했는데 연출이고 cg고 너무 재밌어서 재밌게 봄
긍정,2편은 1편을 뛰어넘지 못하는데 이번2편 충분히 재밌었다-!,2편은 1편을 뛰어넘지 못하는데 이번2편 충분히 재밌었다 ,2편은 1편을 뛰어넘지 못하는데 이번 2편 충분히 재밌었다 
긍정,중간에 개연성없는 장면들에 읭 했지만 전반적으로 볼거리가 많은 영화엿음,중간에 개연성없는 장면들에 읭 했지만 전반적으로 볼거리가 많은 영화엿음,중간에 개연성 없는 장면들에 응 했지만 전반적으로 볼거리가 많은 영화였음
긍정,"메타버스나 감독의 이전작품 오마주, 연기, cg 모두 완벽했다2시간이라는 짧지않은 러닝타임동안 늘어지지않는 스토리도 굿 아주 가끔 유치한 장면 있어서 1점은 뺐어여",메타버스나 감독의 이전작품 오마주 연기 cg 모두 완벽했다2시간이라는 짧지않은 러닝타임동안 늘어지지않는 스토리도 굿 아주 가끔 유치한 장면 있어서 1점은 뺐어여,메타버스나 감독의 이전 작품 오마주 연기 cg 모두 완벽했다 2시간이라는 짧지 않은 러닝타임 동안 늘어지지 않는 스토리도 굿 아주 가끔 유치한 장면 있어서 1점은 뺐어요
긍정,MCU판 데바데ㄷㄷㄷ,MCU판 데바데 ,MCU 판 데바데
긍정,닥터스트 레인지 액션장면이 아주 아름다웠다..~♡♡,닥터스트 레인지 액션장면이 아주 아름다웠다 ,닥터스트 레인지 액션 장면이 아주 아름다웠다 
긍정,평보고 걱정됐지만 완전 재밌게 보고옴,평보고 걱정됐지만 완전 재밌게 보고옴,평보고 걱정됐지만 정말 재밌게 보고 옴
긍정,진심 최고의 영화다진심으로 정말 너무 최고다,진심 최고의 영화다진심으로 정말 너무 최고다,진심 최고의 영화다 진심으로 정말 너무 최고다
긍정,완다비전의 스토리를 미리 알고 본다면 평점이 달라질 닥스2입니다 완다 ㅠ,완다비전의 스토리를 미리 알고 본다면 평점이 달라질 닥스2입니다 완다 ,완다 비전의 스토리를 미리 알고 본다면 평점이 달라질 닥스 2입니다 완다 
긍정,진짜 2시간이 시간가는 줄 모르고 재밌게 봤어요.. 화려한 CG. 탄탄한 스토리. 모두 굿,진짜 2시간이 시간가는 줄 모르고 재밌게 봤어요 화려한 CG 탄탄한 스토리 모두 굿,진짜 2시간이 시간 가는 줄 모르고 재밌게 봤어요 화려한 CG 탄탄한 스토리 모두 굿
긍정,볼만 했습니다.,볼만 했습니다,볼만했습니다
