분류,spell_check
1,약 스포일 수 있는데 좀 잔인 한 장면이 있음 물론 잔인하게 죽은 시체는 드러내진 않고 그 상황이 나옴 그래서 좀 싫어할 수 있음
1,주인공 중심의 스토리텔링 샘 레이미 짱 
1,보는 내내 눈이 즐거웠습니다
1,생각보다 재미있고 내용도 괜찮
1,너무 재미있다 유튜브에서 요약본 보고 오먼 더 재밌음
1,3번 봤어요 진짜 추천합니다 두 번째 쿠키 영상은 꼭 보시길
1,올해 최고의 영화가 아닐까 싶습니다 시작부터 끝까지 2시간이 금방 가더군요 몰입감 최고고요 N 차 관람하러 거야겠습니다 
1,너무 재밌었어요 몰입감 오짐
1,완다 너무나도 감동입니다
1,남편이 안 존 거 보면 재밌었네요
1,베네딕트 존 나 멋있다 무조건 꼭 보세요
1,윽까 적당히 하세요 예 진짜 재밌게 봤습니다 속지 말고 그냥 보세요 볼만합니다
1,재밌어요 진짜 꿀잼잼
1,감성이 있으면 이상하다랄까 중간에 음표 날려서 갬성이 깨져 부림 내 갬성 4b로 봐서 잼 썼지만 금쪽같은 내 새끼 보는 줄 중간중간마다 늘 재밌답니다 
1,평이 호불호 갈려서 걱정했는데 생각보다 너무 재밌게 봄 스트레인지 개 매력 있고 완다 조녜 존멋 둘이 같이 싸웠어도 케미 좋았을 거 같은데 아쉽네요 이만하면 다음 대 어벤저스 리더는 스트레인지 어떨지 스파이더맨이랑도 케미 좋은데 역시 마블은 믿고 봅니다
1,꼭 보세요 멀티버스 시리즈 몰라도 그냥 보면 됨
1, 리뷰 보고 재미없을 줄 알고 기대 안 하고 봐서 그런지 너무 재밌게 봄 갑작스럽게 진행하는 것 같이 느껴지긴 했는데 연출이고 cg고 너무 재밌어서 재밌게 봄
1,2편은 1편을 뛰어넘지 못하는데 이번 2편 충분히 재밌었다 
1,중간에 개연성 없는 장면들에 응 했지만 전반적으로 볼거리가 많은 영화였음
1,메타버스나 감독의 이전 작품 오마주 연기 cg 모두 완벽했다 2시간이라는 짧지 않은 러닝타임 동안 늘어지지 않는 스토리도 굿 아주 가끔 유치한 장면 있어서 1점은 뺐어요
1,MCU 판 데바데
1,닥터스트 레인지 액션 장면이 아주 아름다웠다 
1,평보고 걱정됐지만 정말 재밌게 보고 옴
1,진심 최고의 영화다 진심으로 정말 너무 최고다
1,완다 비전의 스토리를 미리 알고 본다면 평점이 달라질 닥스 2입니다 완다 
1,진짜 2시간이 시간 가는 줄 모르고 재밌게 봤어요 화려한 CG 탄탄한 스토리 모두 굿
1,볼만했습니다
1,먼저 음악으로 공포감을 조성하는데 많은 역할을 하였고 갑자기 사람 지는 장면으로 분위기 조성이 기가 막힙니다 그리고 색깔과 cg는 말할 것도 없이 훌륭하고요 이 영화는 다른 마블 영화와 다르게 시원한 요소가 많지는 않지만 다른 느낌으로 아주 훌륭한 작품이라고 생각합니다
1,마블 코믹스를 좀 잘 알고 이전 스토리를 안 다면 훨씬 더 재미있을 듯
1,겁나 재밌어요 
1,너무 평점이 별로 길래 기대 안 하고 봐서인지 지루하지 않게 재밌게 봤습니다 음표 나오는 부분이 약간 유치하긴 했으나 스파이더맨 노 웨이 홈보다 고구마나 신파가 없고 액션이 많아 재미있었어요
1,역시 믿고 보는 마블 영화 잘 봤습니다
1,진짜 재밌었음 특히 완다가 완다에게 위로받는 장면은 진짜 눈물로 홍수 만들고 옴
1,드라마 다 보고 보면 재밌음
1,또 보고 싶다 개 멋있다
1,음표 너무 멋졌는데 왜 유치하다고 하지 난 처음부터 끝까지 너무너무 재밌음 완다 연기 최고 물이었냐 유리였나 그 사이로 나올 때 무서웠음
1,진짜 퀄리티 미쳤음 역시 존 버는 승리한다 
1,난 솔직히 재밌게 봤다 쿠키영상 보니까 다음 것도 벌써 기대됨
1,친구들이랑 봤는데 너무너무너무 재밌게 봤어요 덕분에 정말 즐거운 시간 보냈네요 
1,정말 재미있게 보았고 좋아하던 공포영화감독님 작품이라 그런지 색감이 진하게 묻어 나오네요
1,재어있게 봄 멀티버스에 대한 이후 스토리가 궁금
1,마블 첫 입문이었는데 재밌었어요 기말 끝나고 마블 정주행할 거임
1,재밌다 마블 시리즈를 다 보고 있는데 이번 작도 재밌게 봤다
1,평점이 낮은 거 같아서 얼마나 별론가 봤는데 제 마음에는 들었어요 일단 여러 가지 영화가 생각나게 하는 오마주 같은 것들이 재밌었고 영혼으로 망토를 만든다던가 정신 속에 붉은 연기라던가 음표와 오선지로 공격하던 것과 소소하게 웃긴 대사들 좋았어요 공포영화 같기도 하고 좀비 영화 같기도 하고 눈 세 개 닥스라니 좀 비호감이긴 합니다만 재밌었어요 아 그리고 꿈이 멀티버스라는데 저는 진짜 특이한 꿈 많이 꾸거든요 날개 달린 아빠가 피를 흘리고 있다든지 내가 마법사 집단의 졸다 구로 훈련받고 있다든지 염소들이 면사포를 쓰고 체스를 하고 있다든지 2차원 애니메이션의 괴물이랑 같이 논다든지 저는 여러 우주에 있나 봐요 저희 남편은 꿈에 온갖 미녀들이 꿈에 나온다네요 하하
1,완다가 이렇게 쎈케였는지 이제 알았네요 
1,끝났어 끝났다고 오오
1,완전 재밌어요 강추 심장 쫄깃 졸기하고 지루할 틈이 없었어요
1,칭찬할 점 완다가 연기를 너무 잘함 호러 연출이 엄청 조금만 나왔는데 이것만 보고도 느껴지는 점 몇 배는 더 무섭게 연출할 수 있는데 심의에서 빠꾸먹어서 역량을 다 못 보여준 느낌 부족한 점 마법이 별로임 웡은 계속 안 좋은 모습만 보여줄 거면 그냥 캐릭터 죽게 하는 게 마블한테 좋을 듯 완다 드라마 안 보고 보면 생각보다 별로일 듯 의문 닥스 전 여자친구가 닥스에게 네가 칼자루를 쥔 입장이라서 떠났다고 하는데 닥스는 항상 어쩔 수 없는 입장 아니었나 결국 결과만 놓고 보면 전 여자친구가 칼자루를 쥐고 베어버린 건데 전 여자친구가 원하는 건 뭐였을까 영화가 보여주고 싶은 건 뭐였을까 
1,기존의 마블 영화 느낌이 아니고 호러 영화 느낌 때문에 호불호가 갈렸을 수도 있어도 저는 굉장히 꿀 잼이었습니다
1,개인적으로 너무 재밌게 봄
1,시작부터 1시간 2 30분쯤까지는 10점인데 뒷부분이 좀 지루한 듯 유치한 듯 그래도 8 5 9점 정도 되는 거 같음 평점이 지나치게 낮은 것 같아 좀 올려봅니다
1,믿고 보는 마블 영화
1,샘 레이미 그냥 최고다 스토리도 최고
1,보는 내내 집중이 잘 됐어요 중간에 장르가 공포인가 하는 생각이 들었네요 
1,샘 레이미는 참 매력 있는 감독이다
1,재밌었어요 3도 돌아요
1,재밌음 무서웠음 재밌음
1,다양한 장르도 멀티버스로 혼돈이지만 잘 버무렸습니다 공포 코믹 좀비 등등 세계관도 버무리기까지 잘 써 까먹은 듯합니다
1,여자 남자 엄마 중에 엄마가 젤 강인하다는 걸 보여준 영화 지옥이랑 지학 느낌이 있어서 좀비물 같기도 했지만 꿀 잼
1,후기 되게 안 좋길래 걱정하면서 봤는데 역시 마블은 마블이다 개재밋어여
1,배우들 연기도 너무 좋고 나는 연출도 좋았음 2시간 순삭 꿀 잼
1,저는 매우 재미있었습니다
1,개존잼내스탈임내스탈임진짜진짜
1,스파이더맨보다 훨씬 재밌다
1,전 너무 재밌었어요 별로란 평이 많아서 의리로 보긴 했는데 기대 이상이었음
1,완다가 다 했어요 나는 한 번 더 볼 겁니다 완다를 한 번 더 보고 싶어요
1,멀티버스라 정신없는데 나름 엄청 재미나게 봄 마블 골수팬이라면 재미있을 거임
1,유치 스토리 재밌구먼 다만 완다 스토리 공부만 좀 하고 가면 개꿀 잼임
1,아니 안 더비전 서사 미리 보지도 않고 영화 보러 와서 이해 안 간다는 둥 재미없다는 둥 개소리 좀 하지 마라 유튜브에 다 요약본 있으니 좀 20분 정도 투자하고 요약본 보고 봐라 그럼 재미없단 생각 일도 안 드니 어휴
1,재밌는데 별점 왜 저래
1,재밌었습니다
1,개꿀 잼 겨겨어터터터
1,음표 공격만 빼면 재밌었음 완다가 흑화 하게 된 배경이 궁금해짐
1,오래간만에 먹은 팝콘이 너무 맛있어서 그냥 별 다섯
1,이블 데드 닥터 스트레인지 
1,너무 재밌다 오래간만에 극장 와서 그런가 개꿀 잼 완다도 안쓰럽고 마지막에 닥터 스트레인지가 크리스틴한테 대사 치는데 으으 눈물 남
1,태어나서 처음으로 본 마블 영화인데 내용 1도 모르는 머글이지만 너무 재밌었음 
1,킹 재밌음 왜 별점이 이렇게 낮은지 모르겠음
1,재미있다 도대체 왜 이렇게 혹평을 하는 걸까 감독에 따라 분위기가 바뀌는 건 당연한 일이고 이 감독의 분위기에서 완다를 아주 잘 살린 마블의 영화다
1,너무너무 재밌음 개인적으로 마블 시리즈 중 상위권
1,재미 씀 공포영화 느낌도 나는 게 신선쓰
1,자식 이기는 부모 없다
1,난 완전 존재 미이였는데 여
1,4d로 봤는데 기대한 만큼 재밌었어요 
1,기괴하고 예측할 수 없는 스토리 좋아요
1,개 재밌구먼 유치해서 그렇지
1,별로 기대 안 했는데 낫배드
1,마블은 절대로 죽지 않을 걷다
1,재미있고요 연출도 공포영화 같아 새로웠네요 근데 닥터 스트레인지를 너무 너프한 듯
1,차베스 빼곤 다 괜찮았던 영화
1,역대급재미있어요짱짱
1,기대치륻 낮추고 배경 공부 살짝 하고 관람하니 너무 재밌게 봤다 마블 전체 중 탑 6는 들 수 있을 듯
1,최소한 마블 드라마 완다 비전은 봤어야 100 이해할 수 있는 영화였다 완다 비전 안 보고서 내용 뭐라 하지 말기를
1,완다 최애들은 무조건 봐야 하는 영화 마블 놈들아 우리 완다 이만 행복하게 해주세요
1,캐릭터들이 입체적으로 변하는 과정을 배우들이 연기로 잘 표현해서 좋았어요 시각적 효과도 큰 관에서 보니 멋있었고 재밌게 잘 봤습니다 
1,미술감독이 돋보임 대사도 매력적임 후속작이 기대됨
1,호불호가 갈린다 해서 기대를 안 하고 봤는데 저는 기대 이상으로 너무 재밌게 봤습니다 샘 레이미 감독의 스타일을 확실하게 보여준 영화라고 생각합니다 어설픈 CG가 좀 아쉬웠으나 그 이외에 모든 것이 완벽했다고 생각합니다 안다 비전과 로키는 미리 꼭 감상하고 보시는 게 재미를 더 할 것 같네요
1,와 두 번째 쿠키 대박이다 지금까지의 마블 영화 중 가장 엄청난 떡밥을 던지는 쿠키임 두 번째 쿠키 보고 영화관에서 사람들 단체로 감탄함
1,진짜 믿고 보는 마블이 다 같은 영화값을 내고 아깝지 않음 이번에 공포영화 같기도 하고 무섭기도 하고 나의 힘든 고시생활에 감동
1,링 귀신 좀 빌 출몰 쿠키영상 2개 있어요
1,재밌는데 평점이 이상하세 낮네요
1,입 무슨 입 완다 사랑해요
1,스토리나 이런 부분은 전작 능욕만 아니면 신경 쓰지 않는 입장에서는 재미있게 봤으나 몇몇 분들은 호불호가 있을 수 있을 겁니다 그러나 그 외의 액션은 재미있어서 2시간 정도가 훌쩍 갔네요
1,굳굳 완다 비전 보고 봐야 뎀
1,cgv 온 게 후회가 안되네요 정말 최고였습니다
1,형용할 필요가 없는 영화
1,볼거리 많은 화려한 연출 정말 재밌었어요 
1,두 시간 동안 엄청 행복했다
1,개미 쳤음 진짜 존나 재밌다
1,진짜 재밌었음 연출이 정말 멋져서 홀린 듯이 봤음
1,킬링 타임용으로는 훌륭하지만 마블 기대치에 비해서는
1,혹평이 많아 걱정했지만 마블 팬이라면 스칼렛 위치 좋아하면 아주 재밌게 보고 나오실 수 있습니다
1,연출 너무 좋았어요 너무 재밌게 봤어요 드림 워킹 하고 싶다
1,와 진짜 재미있었음 개추
1,일부 장면은 유치했지만 샘 레이미의 닥스 2 전반적으로 재밌었어요
1,매력 넘치는 완다 멀티버스 마블 시리즈 기대하게 만드네요
1,정말 재밌었습니다 
1,진짜 너무 재밌어요
1,호불호가 갈릴 수 있는 연출 전 개인적으로 매우 만족하며 잘 봤습니다 이렇게 자기 스타일을 녹여내는 동시에 스토리를 고스란히 전달할 수 있는 감독이 또 있을까요 뒤로 가면 갈수록 폭소 터집니다 마지막으로 가면 갈수록 영화관 박장대소 
1,가지고 싶어도 못 가지는 것들에 대한 미련 혹은 집착
1,역시 날 실망시키지 않았어
1,5살 쌍둥이 사진 아빠인데 펑펑 울면서 봤네요 역대 마블 영화 중 가장 재밌었습니다
1,감동 연출 다잡음 역시 닥터
1,진짜 너무 재미있어요 캡틴 마블 같은 이상한 캐릭터로 페미 같은 이상한 거 하지 말고 이렇게 진정성 있고 설득력 있게 만들면 얼마나 좋습니까 우주 최고의 파워 중 하나는 모성애입니다 완다를 볼 때마다 자꾸만 울컥울컥하네요 나에게도 저런 어머니가 있었으면 얼마나 좋았을까 하는 생각이 들더군요 영화 보는 내내 한순간도 나의 집중을 놓치지 않게 했습니다 매버릭을 상당히 기대하고 있는데 이 영화보다 더 재미있을 수 있을까 하는 생각에 걱정이 앞서는군요 164 1 000 
1,오랜만에 평점 쓰네요 일단 영화는 재밌습니다 전 솔직히 예매했을 때부터 평점이 별로 안 좋아서 기대 안 하고 가서 봤었는데 와 역시 기대를 저버리지 않더군요 그리고 이 영화의 최대 장점은 스토리가 굉장히 탄탄하고 재밌습니다 최대 단점은 CG가 티가 많이 납니다 하지만 닥터 스트레인지 1과 같이 스토리가 흥미진진해서 다음 편이 혹시 나온다면 기대해도 좋을 법 합니다 그리고 완다가 빌런으로 나온 것도 인상적이었고 또 스파이더맨 노웨이 홈에서 다뤘던 멀티버스를 좀 더 구체적이게 알 수 있어서 굉장히 재미있었습니다 솔직히 결말이 찝찝하긴 합니다만 이런 걸 예상했을 땐 아무래도 곧 있음 닥터 스트레인지 3도 나올 것 같군요 P S 디즈니 CG 좀 작작해라
1,완다 비전 로키 왓 이프 보고 나서 영화 보세요 별점 낮게 줄 수가 없습니다 
1,평점이 7점대라고 말도 안 돼 무슨 기대를 갖고 보러 갔는지 모르겠지만 난 너무 재밌게 봤다
1, 진짜 완다 제 최애여서도 봤는데 너무 재밌어요 아 왜 죽여요
1,마블 영화는 무조건 봅니다 닥터 스트레인지 2 너무 재밌어서 두 번이나 봤어요 적극 추천합니다 
1,재미있었네요
1,개인적으로 극화 한 번 더 봐야지
1,마블 통틀어 제일 재밌었음 내 취향
1,수많은 예고편과 유튜브 영상을 봤음에도 어벤저스 엔드게임 이후 참 오랜만인 마블의 엄청난 영화 재밌었어요
1,어려운 내용을 쉽고 재미있게 잘 전달 화려하진 않았지만 시간 내내 지루하지 않았음
1,진짜 너무 재밌게 봤어요
1,꼭 너랑 보고 싶었는데
1,페이즈 4 시작 매우 기대
1,그냥 완다 나와서 좋았던 영화
1,엘리자베스 올슨 정말 좋아해서 너무 재밌었어요 완다 행복하게 해주세요
1,너무 재미 씀 닥스 개 멋지고 완다도 멋짐
1,완다 비전에 이어 훌륭하게 스토리를 이끌어가서 좋았음 재미있어요 
1,닥터수트핏 음표 마법 멋있다 
1,재밌다 아주 재미있다아
1,재미있었습니다 최고였어요
1,지금까지 링 다른 느낌의 마블이어서 새로웠으면 보는 내내 지루할 틈을 안 주는 게 내 취향에 맞았음
1,마블 팬이라면 눈물 흘릴 것 완다 살려내 
1,그냥 겁나 재밌는데 억지로 얼까 하네
1,진작 만들었어야 하는 마블 영화 
1,완다 비전 보고 봤으면 더 이해하기 쉽고 좋았을걸 하는 아쉬움 15년 만에 샘 레이미 감독 영화를 극장에서 다시 보다니 나에겐 진짜 크나큰 영광이자 큰 감동과 전율을 느꼈다 개인적으로 스파이더맨 3나 베놈 2보다 훨씬 재밌음 그리고 사람마다 호불호 크게 갈리던데 나는 다크 호러 영화를 원래 좋아해서 엄청 재밌게 봤음 엔딩 크레디트 끝나고 쿠키영상 첫 번째만 보면 됨 닥터 스트레인지 3도 어떻게 나올지 기대하는 중
1,연출이 생각보다 대단했다 특히 음표로 공격하는 건 웃겼는데 한편으로는 어떻게 저런 생각을 했는지 놀라웠다 배우들의 연기도 괜찮았는데 옛날 마블을 보던 사람들은 추억이 돋을 수도 있음 근데 아쉬운 건 완다가 악역이었다는 거
1,평점은 최대 10까지 등록 가능합니다
1,개봉한 날 보고 왔는데 재밌게 봤음진지충색기들 졸라 영화 까는데 무시하세요 음표 빵 터짐
1,재밌게 봤어요 잔인하고 무서운 연출도 있어서 12세 이용가는 아닌 것 같지만 베네딕트 최고야 닥스 최애 
1,혼돈의 유니버스 파생되는 다른 스토리도 궁금합니다
1,아이들에 대한 사랑이 느껴졌어요 
1,개봉 첫날 스릴 넘치고 재밌게 봤어요 두 번째 쿠키영상은 낚시라 첫 번째만 보고 일어나시길 
1,공포영화 무서웠다
1,전작보다 더 재미있고 후속편도 기대되네요 
1,애초에 스토리가 재밌는 듯
1,마블의 진화 초입 단계 다음 빌런은 닥스 
1,역시 마블이라고 말하게 되는 영화
1,마블의 또 다른 진화 
1,완다 비전 정주행 한 날 보면 완다한테 과몰입해서 볼 수 있음 
1,너무 기대하고 봐서 기대만큼은 아니지만 그래도 재밌어요 
1,난 되게 재밌게 봤는데 평점이 낮아서 10점 준다
1,히힛 살 양해용 재미 떠요
1,재밌었다 좀비물과 호러물 약간 가미된 듯 재밌었다 
1,확실히 호불호가 갈릴만한 영화라고 생각이 든 게 1점 주는 분들은 기존에 샘 레이미가 어떤 감독인지 샘 레이미 감독의 호러 영화를 접해보지 못했거나 접했더라도 샘 레이미 특유의 연출 스타일을 별로 좋아하지 않는 사람이라면 싫어할 수도 있겠구나 싶었음 샘 레이미 특유의 고어틱한 연출을 12세 관람가에 녹이려다 보니 최대한 자제해서 연출한 게 이 정도지 이블 데드 드래그 미 투헬 등 샘 레이미의 색깔이 뚜렷이 나타나는 영화를 한 번이라도 봤다면 이걸 보고 왜 12세 관람가인지 모르겠다는 말은 안 나올 듯 개인적으론 샘 레이미의 팬이고 샘 레이미의 호러 영화를 좋아하는 사람으로서 마블과 샘 레이미의 만남은 대성공이었다
1,진심 대전 잼 또 보고 싶다
1,1이 재미없어서 기대 안 했는데 너무 재밌네요
1,정말 영화 부제처럼 대혼돈의 멀티버스였음 왜 공포영화 같다고 한지 리뷰가 이해가 감 갑자기 등장한 아메리카 이란 인물에 대한 배경 설명이 좀 부족했지 않나 싶음 그리고 너무 오랜만 6년 만이라 1탄 내용 기억이 흐릿해서 이해 안 간 부분도 있지만 그래도 그냥저냥 지루하지 않게 잘 본 듯
1,이 정도면 노 웨이 홈에 견줄만한데요 살짝 가미된 호러 연출 또한 이색적이고 신선했습니다 아 참고로 쿠키 영상 두 개입니다 꼭 보세여
1,완다는 언제쯤 행복해질까요 나중에라도 행복한 완다 영화 만들어주세요 제발 
1,첫빠따에 나오는 눈깔 괴물의 CG 너무 실감 나고 멋있어요 완다 비전 로키 왓 이프 다 봤는데도 좀 완다의 감정이 이해는 안 가지만 뭐 어때요 멀티버스로 버무려지는 개쩌는 각본 캡틴 카터랑 매그니토의 존멋 등장 화려하게 가지각색 모습으로 죽는 모습이 너무나 멋있었고 음표 전투 와 너무 박진감이 넘치고 최고의 장면이에요 좀비로 변신하는 것도 너무 즐거웠네요 천지는 반으로 각성하는 모습도 최고입니다 꼭 보세요 후회가 없네요
1,나에겐 10점짜리 영화
1,멀티버스 우주를 구현한 장면이 인상 깊었다 새로운 여주인공인 아메리카 차베스의 연기도 놀라웠다
1,지루했던 스파이더맨 보다 훨씬 낫네 시간 가는 줄 모르고 봄
1,갑툭튀 제3의 눈 금 쪽이 완다
1,일단 영화 보기 전에 완다 비전을 따로 보고 오시는 것을 추천드립니다 안 그럼 마블 세계관이 갑자기 왜 이렇게 됐는지 이해 못 하고 저평가 되기 십상인 영화 역시 마블 영화는 영화관 가서 봐야 제맛 영상미도 훌륭하고 베네딕트는 역시 연기가 맛있다 보기 전에 먼저 본 지인들이 공포영화 같다고 했었는데 무슨 얘기인지 이해가 간다 전체적으로 스토리도 박살 나지 않은 선에서 재밌게 봤습니다 쿠키영상 두 번째까지 기다린다면 허무와 어이없음에 대한 헛웃음이 나옵니다
1,우리 완다 멀티버스 가게 좀 내버려 두라고 닥스야 
1,전 나름 감동도 받고 재밌게 잘 봤어요 몇 군데 살짝 유치한 감도 있었지만 설정이 긴박했다고 하나 좀 동양적이고 신비로운 느낌도 들고 나름 괜찮았어요 
1,전 개인적으로 재밌게 봤었습니다 기대에 못 미친 건 맞지만 연출만큼은 멋있었다고 생각합니다 특히 전 음표 난리는 거 연출 좋았어요 
1,저는 진짜 재밌게 봤어요 감정선도 좋고 
1,오랜만에 재밌게 본 영화
1,세 번 볼 의향이 있습니다
1,호러 영화 노 게 무섭다
1, 늘 사랑으로 키울게 
1,마블은 언제나 마블 한다 전혀 생각지 못한 세계를 보여주는 마블 제작진은 대체 어떤 사람들 인가 또 언젠가 나도 그곳에 있길 
1,디즈니가 호러를 선택할 줄 몰랐네 90년대 가벼운 스타일 호러 완전 취향 저격이다
1,샘 레이미 감독 특유의 연출 너무 좋았습니다 기존 마블 영화들을 기대하고 보신 분들은 호불호가 갈릴 수 있을 것 같네요
1,진짜 재밌음 두 번 봄 완다 너무 예뻐
1,기대한 것보다 재미있음 평점 7점은 너무 낮아서 10점 줌
